Ownership, Finding method, Retrieval time, Subject, Era, Market, Form, Browsable, Titles, New titles, Spent on new titles, Subscriptions, Spent on subscriptions, Note
owner, in Virgo, hours, PR, recent, , physical, physically, 18415, 437, 17655.76, 80, 958.63, 
owner, in Virgo, days, PR, recent, , physical, virtually, 520, , , , ,
owner, in Virgo, minutes, PR, recent, , electronic, virtually, 7, , , , ,
owner, in Virgo, hours, PR, used, , physical, physically, 79698, , , , ,
owner, in Virgo, minutes, PR, used, , electronic, virtually, 11175, , , , ,
owner, in Virgo, days, PR, used, , physical, virtually, 16063, , , , ,
owner, in Virgo, hours, PR, antiquarian, , physical, physically, 5560, , , , ,
owner, in Virgo, hours, PR, antiquarian, , physical, virtually, 9983, , , , ,
owner, in Virgo, days, PR, antiquarian, , physical, virtually, 3845, , , , ,
owner, in Virgo, minutes, PR, antiquarian, , electronic, virtually, 14961, , , , ,
individual license, not in Virgo, weeks, PR, recent, , physical, no, 308675, , , , ,
individual license, not in Virgo, weeks, PR, used, , physical, no, 912315, , , , ,
individual license, not in Virgo, weeks, PR, antiquarian, , physical, no, 335654, , , , ,
individual license, not in Virgo, days, PR, recent, , electronic, no, 177911, , , , ,
individual license, not in Virgo, days, PR, used, , electronic, no, 174222, , , , ,
individual license, not in Virgo, days, PR, antiquarian, , electronic, no, 72208, , , , , in WorldCat
license with backup, not in Virgo, minutes, PR, antiquarian, , electronic, no, 310000, , , , , ECCO + EEBO
